Rank,Track Name,Artists,Popularity
1,Die With A Smile,"Lady Gaga, Bruno Mars",100
2,BIRDS OF A FEATHER,Billie Eilish,98
3,Taste,Sabrina Carpenter,95
4,Who,Jimin,93
5,Espresso,Sabrina Carpenter,87
6,"Good Luck, Babe!",Chappell Roan,95
7,Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",91
8,Sailor Song,Gigi Perez,88
9,Si Antes Te Hubiera Conocido,KAROL G,95
10,Please Please Please,Sabrina Carpenter,87
11,Q U E V A S H A C E R H O Y ?,"Omar Courtz, De La Rose",87
12,Tu Boda,"Oscar Maydon, Fuerza Regida",83
13,Beautiful Things,Benson Boone,90
14,Mantra,JENNIE,81
15,WILDFLOWER,Billie Eilish,91
16,Bed Chem,Sabrina Carpenter,92
17,"I Love You, I'm Sorry",Gracie Abrams,90
18,Sweater Weather,The Neighbourhood,90
19,Lose Control,Teddy Swims,89
20,A Bar Song (Tipsy),Shaboozey,86
21,Too Sweet,Hozier,83
22,I Wanna Be Yours,Arctic Monkeys,90
23,The Night We Met,Lord Huron,88
24,The Emptiness Machine,Linkin Park,92
25,EL LOKERON,Tito Double P,88
26,Moonlit Floor,LISA,86
27,FE!N (feat. Playboi Carti),"Travis Scott, Playboi Carti",89
28,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",90
29,Guess featuring billie eilish,"Charli xcx, Billie Eilish",70
30,Embrace It,Ndotz,88
31,Diet Pepsi,Addison Rae,87
32,I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",85
33,LA PATRULLA,"Peso Pluma, Neton Vega",87
34,End of Beginning,Djo,90
35,DOS DÍAS,"Tito Double P, Peso Pluma",87
36,we can't be friends (wait for your love),Ariana Grande,87
37,MILLION DOLLAR BABY,Tommy Richman,90
38,Soltera,Shakira,84
39,Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",85
40,Gata Only,"FloyyMenor, Cris Mj",79
41,My Love Mine All Mine,Mitski,88
42,HOT TO GO!,Chappell Roan,90
43,ESCAPATE,"Tito Double P, Chino Pacas",86
44,Cruel Summer,Taylor Swift,90
45,i like the way you kiss me,Artemas,82
46,NIGHTS LIKE THIS,The Kid LAROI,88
47,Después De La 1,"Cris Mj, FloyyMenor, LOUKI",87
48,See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis",89
49,Stargazing,Myles Smith,90
50,PELIGROSA,FloyyMenor,84
